captured_at,window_days,session_count,total_tokens,input_tokens,output_tokens,total_cost_usd,cost_per_session_usd,source
2026-07-31T01:50:10Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-07-31T08:32:53Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-07-31T13:38:51Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-07-31T19:07:16Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-08-01T00:22:15Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-08-01T06:47:14Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-08-01T12:18:25Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-08-01T18:17:48Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-08-02T00:23:10Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-08-02T06:50:14Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-08-02T12:19:41Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-08-02T18:18:04Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-08-03T00:23:27Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-08-03T07:04:24Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-08-03T12:59:47Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-08-03T18:32:52Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-08-04T00:23:11Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-08-04T06:48:47Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-08-04T12:34:22Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-08-04T18:30:32Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-08-05T01:39:30Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-08-05T08:15:36Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-08-05T13:41:44Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-08-05T19:13:52Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-08-06T01:28:33Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-08-06T08:14:07Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-08-06T13:40:18Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-08-06T23:49:07Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-08-07T02:05:40Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-08-07T06:59:21Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-08-07T12:39:05Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-08-07T18:39:02Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-08-08T00:51:20Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-08-08T06:33:36Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-08-08T12:24:59Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-08-08T18:21:52Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-08-09T00:54:27Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-08-09T06:37:23Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-08-09T12:27:38Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-08-09T18:24:06Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-08-10T00:56:03Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-08-10T07:09:13Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-08-10T12:43:26Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-08-10T18:41:43Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-08-11T00:55:36Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-08-11T06:46:23Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-08-11T12:39:41Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-08-11T18:46:01Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-08-12T01:02:11Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-08-12T07:07:19Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-08-12T12:42:56Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-08-12T18:46:47Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-08-13T01:03:44Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-08-13T07:11:11Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-08-13T12:43:55Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-08-13T18:47:34Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-08-14T01:02:43Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-08-14T07:07:51Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-08-14T12:39:53Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-08-14T18:40:20Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-08-15T00:37:39Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-08-15T06:19:25Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-08-15T12:16:58Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-08-15T18:13:58Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-08-16T00:39:23Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-08-16T06:21:44Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-08-16T12:17:53Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-08-16T18:13:50Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-08-17T00:38:00Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-08-17T06:32:29Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-08-17T12:21:26Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-08-17T18:22:28Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-08-18T00:37:26Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-08-18T06:24:07Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
